diag;nb;categ;nb_categ;ponderation
N751;4737;N75;9847;48,1
X0403;9;X04;850;1,1
Z299;208;Z29;673013;0,0
Q308;314;Q30;878;35,8
M0624;1;M06;82822;0,0
L906;349;L90;20525;1,7
S133;50;S13;4438;1,1
W818;1;W81;12;8,3
V8660;1;V86;751;0,1
X010;33;X01;139;23,7
G931;7225;G93;111107;6,5
W26899;405;W26;7450;5,4
S500;7544;S50;17431;43,3
X836;1;X83;1019;0,1
Z872;889;Z87;176912;0,5
R4010;2733;R40;220453;1,2
L249;289;L24;720;40,1
X9944;4;X99;3054;0,1
M798;170;M79;143002;0,1
K719;2317;K71;58230;4,0
A35;49;A35;49;100,0
W1928;421;W19;169018;0,2
W1464;41;W14;1243;3,3
X0393;3;X03;109;2,8
V9699;6;V96;300;2,0
Y112;5;Y11;1018;0,5
W9481;1;W94;299;0,3
W7514;1;W75;14;7,1
O651;800;O65;7899;10,1
N648;6121;N64;16675;36,7
Q372;101;Q37;3173;3,2
X478+3;1;X47;1900;0,1
E8350;19572;E83;181982;10,8
C069;2708;C06;13795;19,6
M8882;1;M88;1787;0,1
W990;1;W99;1038;0,1
N831;2096;N83;43411;4,8
W6909;5;W69;291;1,7
I5019;97842;I50;815712;12,0
T224;9;T22;5372;0,2
H133;379;H13;1297;29,2
X814;34;X81;130;26,2
T182;2628;T18;13178;19,9
T8600;375;T86;33727;1,1
X4290;1;X42;1777;0,1
F02432;1;F02;26783;0,0
L97;157957;L97;157957;100,0
Q445;168;Q44;6343;2,6
Q172;95;Q17;10975;0,9
Z605;1056;Z60;636952;0,2
Y2913;1;Y29;64;1,6
X209;162;X20;326;49,7
S911;4655;S91;18122;25,7
E750;111;E75;23572;0,5
S933;812;S93;14592;5,6
M1021;2;M10;66522;0,0
T386;8;T38;3570;0,2
M8714;2;M87;10803;0,0
X2781;3;X27;10;30,0
N944;559;N94;11782;4,7
V250;1;V25;7;14,3
Y589;52;Y58;447;11,6
T889;1008;T88;28118;3,6
E648;51;E64;158;32,3
V7942;1;V79;66;1,5
W460;4;W46;26;15,4
D329;5178;D32;35883;14,4
F1354;4;F13;10959;0,0
V0619;2;V06;41;4,9
R390;1256;R39;258167;0,5
W1348;15;W13;4677;0,3
X401;26;X40;1238;2,1
V539;2;V53;54;3,7
X0499;42;X04;850;4,9
Y484;713;Y48;2323;30,7
Z8028;48;Z80;224878;0,0
M0688;889;M06;82822;1,1
W9352;1;W93;30;3,3
H119;58;H11;17014;0,3
W810;5;W81;12;41,7
V8668;2;V86;751;0,3
X016;1;X01;139;0,7
L108;338;L10;2346;14,4
W26923;1;W26;7450;0,0
X1948;4;X19;576;0,7
X8329;9;X83;1019;0,9
Z8712;7193;Z87;176912;4,1
E141;2293;E14;20919;11,0
S7240;6946;S72;177899;3,9
X9989;18;X99;3054;0,6
M7950;52;M79;143002;0,0
K712;3698;K71;58230;6,4
E048;1023;E04;50668;2,0
W197;22;W19;169018;0,0
W1448;1;W14;1243;0,1
X0304;8;X03;109;7,3
C543;817;C54;118086;0,7
Y1103;2;Y11;1018;0,2
O219;1122;O21;15868;7,1
V715;1;V71;2;50,0
T596;14;T59;2132;0,7
N649;87;N64;16675;0,5
Q378;267;Q37;3173;8,4
X4722;2;X47;1900;0,1
X8491;1;X84;2488;0,0
W0319;12;W03;878;1,4
M8885;267;M88;1787;14,9
W999;34;W99;1038;3,3
N833;287;N83;43411;0,7
W6921;1;W69;291;0,3
D002;414;D00;2794;14,8
E1148;27179;E11;1664933;1,6
Z233;4;Z23;15463;0,0
X8159;1;X81;130;0,8
R842;3;R84;494;0,6
